frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
52,2.6198,0.486051,0.531800,-2.517116,0.998559,0.873019,0.957099,-1.109298,0.948907,0.189108,0.946900,-0.901976,0.926808,1.157429,1.380190,-1.723169,0.287757,0.005899,1.478794,-0.593286,0.206074,1.003461,1.134691,-2.643226,0.172116,0.054022,1.719293,-0.814396,0.153867
53,2.6863,0.479957,0.537378,-3.139707,0.998054,0.873124,0.956244,-1.529595,0.941733,0.181258,0.946711,-1.252243,0.916258,1.159708,1.387440,-2.187530,0.293423,-0.000294,1.467004,-1.187350,0.199212,1.013467,1.210319,-3.165231,0.167092,0.083803,1.607419,-1.930471,0.142627
54,2.7411,0.482297,0.564417,-3.067246,0.998031,0.875861,0.933017,-1.449939,0.943233,0.183699,0.942246,-1.263529,0.917951,1.171341,1.356973,-1.974309,0.306882,0.024386,1.454350,-1.342749,0.203637,1.034772,1.282618,-2.907535,0.162270,0.145579,1.542236,-2.223196,0.134962
55,2.8029,0.490605,0.569840,-2.690732,0.997850,0.877241,0.910607,-1.088596,0.943665,0.205218,0.939986,-1.133320,0.918547,1.031669,1.090609,-1.444988,0.313830,0.052413,1.442732,-1.022158,0.205480,1.035339,1.301798,-2.362314,0.156242,0.132561,1.525178,-1.880018,0.126222
56,2.8533,0.520272,0.569329,-2.267881,0.997674,0.879563,0.903862,-0.767753,0.945134,0.220525,0.939780,-0.915792,0.914754,1.011371,1.046434,-1.192190,0.314340,0.044154,1.164032,-1.234919,0.214477,1.055952,1.297184,-2.138690,0.157386,0.134599,1.343960,-2.345027,0.123674
57,2.9069,0.532750,0.565573,-1.975708,0.997819,0.878795,0.880231,-0.602577,0.949165,0.244956,0.925196,-0.674786,0.917741,1.107346,1.055841,-1.266044,0.340829,0.043388,1.066050,-1.373153,0.245966,1.036703,1.079479,-2.213856,0.192408,0.149858,0.925293,-2.627334,0.156362
58,2.9529,0.539968,0.556115,-1.881666,0.997990,0.863357,0.870330,-0.607327,0.953460,0.256243,0.884294,-0.549940,0.922518,1.136580,1.119415,-1.332068,0.377089,0.031694,1.031800,-1.171567,0.272951,1.012130,0.892646,-2.215158,0.243766,0.087933,0.888157,-2.286222,0.191484
59,3.0005,0.541034,0.447809,-2.055974,0.998136,0.808595,0.702255,-0.716109,0.957729,0.270310,0.679799,-0.628840,0.929190,1.024451,0.950131,-1.255621,0.422302,0.035218,0.951548,-0.930301,0.302726,0.880468,0.915873,-2.229895,0.274041,0.094500,0.976172,-1.735178,0.195284
60,3.0497,0.539275,0.407751,-1.923280,0.997636,0.806733,0.674857,-0.615477,0.958458,0.272842,0.651867,-0.562795,0.931821,0.988290,0.913501,-0.795968,0.426907,0.031732,0.944856,-0.722727,0.319975,0.923398,0.947176,-1.471719,0.256133,0.095509,1.075366,-1.528343,0.187719
61,3.1035,0.538576,0.395218,-1.596294,0.997602,0.788466,0.670118,-0.364250,0.961274,0.274717,0.640257,-0.296791,0.936647,0.978229,0.919823,-0.434329,0.438099,0.032502,0.952145,-0.426446,0.341899,0.942184,1.037285,-1.094022,0.244765,0.078558,1.105964,-1.335941,0.190254
62,3.1457,0.535857,0.391024,-1.519808,0.997676,0.774812,0.663780,-0.320918,0.964119,0.273509,0.665528,-0.222380,0.939867,0.987509,0.924039,-0.506638,0.452975,0.014789,0.967427,-0.523719,0.365263,0.952479,1.050219,-1.180829,0.237036,0.070564,1.013178,-1.520975,0.193718
63,3.1945,0.530028,0.391580,-1.433279,0.997691,0.768064,0.660370,-0.274242,0.966754,0.272254,0.678167,-0.208749,0.941867,0.988716,0.931304,-0.497088,0.466384,0.010068,0.982946,-0.627829,0.390661,0.984323,1.056694,-1.151674,0.231113,0.099821,0.820449,-1.825982,0.209402
64,3.2471,0.523410,0.393513,-1.407633,0.997716,0.764035,0.646701,-0.274837,0.969318,0.277353,0.677959,-0.186431,0.943018,0.979689,0.930811,-0.336467,0.477714,0.015390,0.970835,-0.526930,0.394299,1.034945,1.196082,-0.903866,0.226893,0.099331,0.844240,-1.612442,0.206315
65,3.2956,0.513275,0.397416,-1.369115,0.997659,0.759793,0.635127,-0.248887,0.971431,0.281746,0.673888,-0.142538,0.942034,0.975981,0.927538,-0.294284,0.489258,0.021123,0.961098,-0.203386,0.386324,1.064066,1.159709,-0.881852,0.223986,0.041339,0.886711,-0.975570,0.192925
